Year,USD_INR
1991,22.74243333
1992,25.91808333
1993,30.49329167
1994,31.3737425
1995,32.42707667
1996,35.43317333
1997,36.31328583
1998,41.259365
1999,43.05542833
2000,44.941605
2001,47.18641417
2002,48.61031917
2003,46.58328417
2004,45.31646667
2005,44.099975
2006,45.30700833
2007,41.34853333
2008,43.50518333
2009,48.40526667
2010,45.72581212
2011,46.67046667
2012,53.43723333
2013,58.59784542
2014,61.02951446
2015,64.15194446
2016,67.19531281
2017,65.12156865
2018,68.38946709
2019,70.42034054
2020,74.09956688
2021,73.91801282
2022,78.60449058
2023,82.59927645
2024,83.66928158
2025,
