Year,Exports
1991,22943398073.0
1992,25486029047.0
1993,27466541463.0
1994,32361214431.0
1995,39068855118.0
1996,40803004618.0
1997,44459225643.0
1998,46426465025.0
1999,52544483403.0
2000,60878472821.0
2001,60963415577.0
2002,73452895952.0
2003,90838575244.0
2004,126648000000.0
2005,160838000000.0
2006,199974000000.0
2007,253078000000.0
2008,288902000000.0
2009,273752000000.0
2010,375354000000.0
2011,447384000000.0
2012,448400000000.0
2013,472180000000.0
2014,468346000000.0
2015,416788000000.0
2016,439643000000.0
2017,498259000000.0
2018,538635000000.0
2019,529245000000.0
2020,499729000000.0
2021,677769000000.0
2022,778022000000.0
2023,780409000000.0
2024,827405000000.0
2025,
