Year,Forex_Reserves
1991,7615987475.0
1992,9538786025.0
1993,14674627090.0
1994,24220928469.0
1995,22864636916.0
1996,24889364657.0
1997,28385372946.0
1998,30646563663.0
1999,36005295926.0
2000,41059061575.0
2001,49050841139.0
2002,71607865094.0
2003,103737000000.0
2004,131631000000.0
2005,137825000000.0
2006,178050000000.0
2007,276578000000.0
2008,257423000000.0
2009,284683000000.0
2010,300480000000.0
2011,298739000000.0
2012,300426000000.0
2013,298092000000.0
2014,325081000000.0
2015,353319000000.0
2016,361694000000.0
2017,412614000000.0
2018,399167000000.0
2019,463470000000.0
2020,590227000000.0
2021,638485000000.0
2022,567298000000.0
2023,627793000000.0
2024,643043000000.0
2025,
