Year,Imports
1991,22941358805.0
1992,27639649994.0
1993,27419354119.0
1994,33349501148.0
1995,43318425768.0
1996,45357266003.0
1997,49607467421.0
1998,53431564328.0
1999,61314704757.0
2000,65124245375.0
2001,65218276482.0
2002,78498759286.0
2003,95071869379.0
2004,139311000000.0
2005,183737000000.0
2006,229955000000.0
2007,302804000000.0
2008,350927000000.0
2009,347178000000.0
2010,449974000000.0
2011,566668000000.0
2012,571307000000.0
2013,527555000000.0
2014,529239000000.0
2015,465098000000.0
2016,480169000000.0
2017,582018000000.0
2018,640301000000.0
2019,602315000000.0
2020,510245000000.0
2021,760903000000.0
2022,897551000000.0
2023,856651000000.0
2024,918334000000.0
2025,
