Year,USD_INR,Oil_Price,Inflation,GDP_Growth,Forex_Reserves,Exports,Imports,Trade_Balance
1991,22.74243333,20.04,13.87024618,1.056831435,7615987475.0,22943398073.0,22941358805.0,2039268.0
1992,25.91808333,19.32,11.78781704,5.48239602,9538786025.0,25486029047.0,27639649994.0,-2153620947.0
1993,30.49329167,17.01,6.326890488,4.750776218,14674627090.0,27466541463.0,27419354119.0,47187344.0
1994,31.3737425,15.86,10.24793556,6.65892407,24220928469.0,32361214431.0,33349501148.0,-988286717.0
1995,32.42707667,17.02,10.22488616,7.574491838,22864636916.0,39068855118.0,43318425768.0,-4249570650.0
1996,35.43317333,20.64,8.977152338,7.549522249,24889364657.0,40803004618.0,45357266003.0,-4554261385.0
1997,36.31328583,19.11,7.164252115,4.04982085,28385372946.0,44459225643.0,49607467421.0,-5148241778.0
1998,41.259365,12.76,13.23083898,6.184415822,30646563663.0,46426465025.0,53431564328.0,-7005099303.0
1999,43.05542833,17.9,4.66982038,8.845755559,36005295926.0,52544483403.0,61314704757.0,-8770221354.0
2000,44.941605,28.66,4.00943591,3.840991157,41059061575.0,60878472821.0,65124245375.0,-4245772554.0
2001,47.18641417,24.46,3.779293122,4.823966266,49050841139.0,60963415577.0,65218276482.0,-4254860905.0
2002,48.61031917,24.99,4.297152039,3.803975321,71607865094.0,73452895952.0,78498759286.0,-5045863334.0
2003,46.58328417,28.85,3.805858995,7.860381476,103737000000.0,90838575244.0,95071869379.0,-4233294135.0
2004,45.31646667,38.26,3.767251735,7.922936612,131631000000.0,126648000000.0,139311000000.0,-12663000000.0
2005,44.099975,54.57,4.24634362,7.923430621,137825000000.0,160838000000.0,183737000000.0,-22899000000.0
2006,45.30700833,65.16,5.796523376,8.060732572,178050000000.0,199974000000.0,229955000000.0,-29981000000.0
2007,41.34853333,72.44,6.372881356,7.660815067,276578000000.0,253078000000.0,302804000000.0,-49726000000.0
2008,43.50518333,96.94,8.349267049,3.086698059,257423000000.0,288902000000.0,350927000000.0,-62025000000.0
2009,48.40526667,61.74,10.88235294,7.861888833,284683000000.0,273752000000.0,347178000000.0,-73426000000.0
2010,45.72581212,79.61,11.98938992,8.497584702,300480000000.0,375354000000.0,449974000000.0,-74620000000.0
2011,46.67046667,111.26,8.911793365,5.241316199,298739000000.0,447384000000.0,566668000000.0,-119284000000.0
2012,53.43723333,111.57,9.478996914,5.456387552,300426000000.0,448400000000.0,571307000000.0,-122907000000.0
2013,58.59784542,108.56,10.01787847,6.386106401,298092000000.0,472180000000.0,527555000000.0,-55375000000.0
2014,61.02951446,98.97,6.665656719,7.410227605,325081000000.0,468346000000.0,529239000000.0,-60893000000.0
2015,64.15194446,52.32,4.906973441,7.996253786,353319000000.0,416788000000.0,465098000000.0,-48310000000.0
2016,67.19531281,43.64,4.948216341,8.256305502,361694000000.0,439643000000.0,480169000000.0,-40526000000.0
2017,65.12156865,54.12,3.328173375,6.795383419,412614000000.0,498259000000.0,582018000000.0,-83759000000.0
2018,68.38946709,71.34,3.938826467,6.453851345,399167000000.0,538635000000.0,640301000000.0,-101666000000.0
2019,70.42034054,64.3,3.729505735,3.871436941,463470000000.0,529245000000.0,602315000000.0,-73070000000.0
2020,74.09956688,41.96,6.623436776,-5.777724707,590227000000.0,499729000000.0,510245000000.0,-10516000000.0
2021,73.91801282,70.86,5.131407472,9.689592492,638485000000.0,677769000000.0,760903000000.0,-83134000000.0
2022,78.60449058,100.93,6.699034141,7.609364978,567298000000.0,778022000000.0,897551000000.0,-119529000000.0
2023,82.59927645,82.49,5.649143189,9.19075493,627793000000.0,780409000000.0,856651000000.0,-76242000000.0
2024,83.66928158,80.52,4.95303551,6.494765524,643043000000.0,827405000000.0,918334000000.0,-90929000000.0
