Year,RSI
2021,81.80342715331466
2024,78.54895824131292
2023,78.04509413392162
2020,74.59833553710345
2019,71.8199725353923
2016,70.44733808352645
2017,70.05617833433769
2015,68.43866451020692
2004,66.03942308868227
2003,64.92049410297824
2018,63.63930692267109
2005,63.59960681938857
2022,63.44700827332341
2006,61.04606551601237
2014,60.83451106366603
2002,59.8837651640456
2001,59.53735498269847
1999,58.93625517394578
2000,58.26524971105502
2007,58.23704880899307
1997,51.14849542569129
2008,49.531944294035334
2013,48.51376719593969
1994,45.74125381487774
1995,45.51639856122596
1996,45.17152872968856
1993,45.084423440422896
2010,44.539646607770095
2011,44.33717896604688
2009,42.833324646300156
2012,35.5914937422049
1991,34.4113643193451
1992,34.05603816990156
1998,31.655631282036943
